title,speaker,duration,url
What makes us human in the age of AI? A psychologist and a technologist answer,Brian S. Lowery and Kylan Gibbs,26:06,https://ted.com/talks/brian_s_lowery_and_kylan_gibbs_what_makes_us_human_in_the_age_of_ai_a_psychologist_and_a_technologist_answer
The arrest of Telegram CEO Pavel Durov \'97 and why you should care,Eli Pariser,51:27,https://ted.com/talks/eli_pariser_the_arrest_of_telegram_ceo_pavel_durov_and_why_you_should_care
Vibe Check with Elise Hu,TED Talks Daily,49:12,https://ted.com/talks/ted_talks_daily_vibe_check_with_elise_hu
What does it take to create change? An artist and a conservationist answer,Kristine McDivitt Tompkins and Amir Nizar Zuabi,23:09,https://ted.com/talks/kristine_mcdivitt_tompkins_and_amir_nizar_zuabi_what_does_it_take_to_create_change_an_artist_and_a_conservationist_answer
Could your new best friend be an AI-powered NPC? w/ Purnendu Mukherjee,The TED AI Show,30:16,https://ted.com/talks/the_ted_ai_show_could_your_new_best_friend_be_an_ai_powered_npc_w_purnendu_mukherjee
What makes you \'93you\'94? An actor and a neuroscientist answer,Yara Shahidi and Anil Seth,22:04,https://ted.com/talks/yara_shahidi_and_anil_seth_what_makes_you_you_an_actor_and_a_neuroscientist_answer
How to spot a bully in the workplace (w/ Master Fixer Amy Cuddy) - Part 1,Fixable,33:40,https://ted.com/talks/fixable_how_to_spot_a_bully_in_the_workplace_w_master_fixer_amy_cuddy_part_1
TED Talks Daily Book Club: The Anxious Generation,Jonathan Haidt,39:13,https://ted.com/talks/jonathan_haidt_ted_talks_daily_book_club_the_anxious_generation
How to develop the habits you want \'96 and get rid of the ones you don\'92t (w/ James Clear),How to Be a Better Human,34:09,https://ted.com/talks/how_to_be_a_better_human_how_to_develop_the_habits_you_want_and_get_rid_of_the_ones_you_don_t_w_james_clear
The tipping points of climate change \'97 and where we stand,Johan Rockstr\'f6m,18:28,https://ted.com/talks/johan_rockstrom_the_tipping_points_of_climate_change_and_where_we_stand
How to Survive a Losing Team,Good Sport,29:00,https://ted.com/talks/good_sport_how_to_survive_a_losing_team
The Olympic spirit \'97 and how you can tap into it,Allyson Felix,50:42,https://ted.com/talks/allyson_felix_the_olympic_spirit_and_how_you_can_tap_into_it
TED Talks Daily Book Club: Come Together,Emily Nagoski,31:41,https://ted.com/talks/emily_nagoski_ted_talks_daily_book_club_come_together
Why young people are worse off than their parents \'97 and what to do about it,Scott Galloway,56:10,https://ted.com/talks/scott_galloway_why_young_people_are_worse_off_than_their_parents_and_what_to_do_about_it
Can America come together after the Trump assassination attempt?,Ian Bremmer,36:24,https://ted.com/talks/ian_bremmer_can_america_come_together_after_the_trump_assassination_attempt
My search for proof aliens exist,Avi Loeb,18:03,https://ted.com/talks/avi_loeb_my_search_for_proof_aliens_exist
Reducing toxic polarization \'96 one conversation at a time,Dave Isay,18:17,https://ted.com/talks/dave_isay_reducing_toxic_polarization_one_conversation_at_a_time
TED Talks Daily Book Club: Horse Barbie,Geena Rocero,26:46,https://ted.com/talks/geena_rocero_ted_talks_daily_book_club_horse_barbie
Leadership lessons from the prime minister of Canada,Justin Trudeau,36:41,https://ted.com/talks/david_friedberg_a_scientific_breakthrough_that_could_transform_how_we_produce_food
"A master chef's take on food, culture and community",Marcus Samuelsson,56:38,https://ted.com/talks/marcus_samuelsson_a_master_chef_s_take_on_food_culture_and_community
Fixable Live - A conversation with Scott Galloway,Fixable,31:59,https://ted.com/talks/fixable_fixable_live_a_conversation_with_scott_galloway
How your vision determines your reality,Bryan William Jones,20:21,https://ted.com/talks/design_matters_with_debbie_millman_carrie_brownstein
What really went down at OpenAI and the future of regulation w/ Helen Toner,The TED AI Show,40:28,https://ted.com/talks/the_ted_ai_show_what_really_went_down_at_openai_and_the_future_of_regulation_w_helen_toner
My quest to cure prion disease \'97 before it's too late,Sonia Vallabh,18:02,https://ted.com/talks/sonia_vallabh_my_quest_to_cure_prion_disease_before_it_s_too_late
"Courage, the most important virtue",Bari Weiss,21:49,https://ted.com/talks/bari_weiss_courage_the_most_important_virtue
An activist investor on challenging the status quo,Bill Ackman,23:45,https://ted.com/talks/bill_ackman_an_activist_investor_on_challenging_the_status_quo
How far away is a ceasefire? An update on Gaza and the Rafah invasion,Ian Bremmer,46:22,https://ted.com/talks/ian_bremmer_how_far_away_is_a_ceasefire_an_update_on_gaza_and_the_rafah_invasion
How the US is destroying young people's future,Scott Galloway,18:33,https://ted.com/talks/scott_galloway_how_the_us_is_destroying_young_people_s_future
How AI is unlocking the secrets of nature and the universe,Demis Hassabis,25:30,https://ted.com/talks/demis_hassabis_how_ai_is_unlocking_the_secrets_of_nature_and_the_universe
What is an AI anyway?,Mustafa Suleyman,21:57,https://ted.com/talks/mustafa_suleyman_what_is_an_ai_anyway
