speaker,videos,average_popularity_score,viral_rate,viral_consistency,viral_presence,wikipedia_numeric,comprehensive_popularity_score
Mikko Hypponen,3,336.35,0.0,0,0,1,6.436199238821717
Elif Shafak,3,937.3,0.0,0,0,1,7.513961669099201
Ben Saunders,3,290.29,0.0,0,0,0,0.5202384986685953
His Holiness Pope Francis,3,810.02,0.0,0,0,1,7.285693756418082
Arthur Benjamin,3,1403.54,33.33333333333333,1,1,1,20.850178071056707
Dan Gilbert,3,1948.66,33.33333333333333,1,1,1,21.827813242024117
JR,3,349.52,0.0,0,0,0,0.6264634237793952
Julia Shaw,3,566.96,0.0,0,0,0,1.0164270860466986
George Monbiot,3,1222.97,0.0,0,0,1,8.026291136538036
Elon Musk,3,8730.49,66.66666666666666,2,1,1,46.490605277621974
Ian Bremmer,3,3172.45,66.66666666666666,2,1,1,36.52264338731585
Laurel Braitman,3,833.89,0.0,0,0,1,7.328502957201382
Bryn Freedman,3,869.3,0.0,0,0,0,1.5586530502202471
Angus Hervey,3,1260.16,0.0,0,0,0,2.259633536946692
Majora Carter,3,710.37,0.0,0,0,1,7.106978345523414
Aimee Mullins,3,518.68,0.0,0,0,1,6.763195534540984
Marc Bamuthi Joseph,3,1128.99,0.0,0,0,1,7.85774448008163
Christiana Figueres,3,747.83,0.0,0,0,1,7.174160275198418
Edith Widder,3,526.9,0.0,0,0,1,6.777937538329787
Mariana Mazzucato,3,540.03,0.0,0,0,1,6.801485288907277
Martin Reeves,3,767.92,0.0,0,0,1,7.21019030635621
Melinda Gates,3,593.73,0.0,0,0,1,6.897792539936316
Catherine Mohr,3,338.31,0.0,0,0,1,6.439714363812721
Michael Sandel,3,728.58,0.0,0,0,1,7.139636726179628
Monica Araya,3,897.97,0.0,0,0,0,1.6100707203692703
Nancy Lublin,3,340.62,0.0,0,0,1,6.443857189694975
Nathan Myhrvold,3,199.69,0.0,0,0,1,6.191108942255079
Nellie McKay,3,170.18,0.0,0,0,1,6.138184789967055
Christopher Soghoian,3,464.15,0.0,0,0,1,6.6653997356841215
Dr. Phillip Atiba Solomon,3,806.7,0.0,0,0,0,1.4463842622422616
Nick Bostrom,3,929.79,0.0,0,0,1,7.5004930014040765
Nicola Sturgeon,3,774.87,0.0,0,0,1,7.222654652625331
Nina Tandon,3,876.33,0.0,0,0,1,7.404616173843326
Paul Bloom,3,848.71,0.0,0,0,0,1.5217263035035267
Chip Conley,3,675.17,0.0,0,0,1,7.043849570174769
Paula Stone Williams,3,1777.52,33.33333333333333,1,1,1,21.52088544051369
Peter Diamandis,3,184.67,0.0,0,0,1,6.1641716068648345
Philip Zimbardo,3,726.1,0.0,0,0,1,7.135189017007337
Blaise Agüera,3,623.68,0.0,0,0,1,6.951505801916199
Prosanta Chakrabarty,3,693.95,0.0,0,0,1,7.077530206568166
Rachel Botsman,3,431.89,0.0,0,0,0,0.7741883449574571
Raghava KK,3,183.53,0.0,0,0,0,0.3287717925259475
Raj Panjabi,3,123.2,0.0,0,0,1,6.05392939605003
Ze Frank,3,940.12,0.0,0,0,1,7.519019144851562
Richard Dawkins,3,1933.59,33.33333333333333,1,1,1,21.80078623507798
Dean Kamen,3,175.42,0.0,0,0,1,6.1475823690246365
Dean Ornish,3,339.75,0.0,0,0,1,6.442296904622438
Robert Neuwirth,3,273.75,0.0,0,0,1,6.323930450843732
Rory Stewart,3,533.02,0.0,0,0,1,6.788913336771085
Rory Sutherland,3,553.74,0.0,0,0,0,0.9927179266685999
Sal Khan,3,2259.15,33.33333333333333,1,1,1,22.384655669808218
Sally Kohn,3,470.5,0.0,0,0,1,6.676788023282529
Arcas,3,623.68,0.0,0,0,1,6.951505801916199
Anthony D. Romero,3,592.23,0.0,0,0,1,6.895102393259528
Sarah Parcak,3,246.79,0.0,0,0,1,6.275579547906247
Sebastian Wernicke,3,366.99,0.0,0,0,0,0.6577946654083954
Shereen El Feki,3,275.76,0.0,0,0,1,6.327535247390628
Sir Ken Robinson,3,4030.74,66.66666666666666,2,1,1,38.06192738146322
Skylar Tibbits,3,337.3,0.0,0,0,1,6.4379029983836835
Brian Cox,3,442.46,0.0,0,0,0,0.7931449118732288
Dennis Hong,3,314.56,0.0,0,0,1,6.397120374763565
Eric Liu,3,803.25,0.0,0,0,1,7.273552227750176
A.J. Jacobs,3,653.94,0.0,0,0,1,7.005775027542619
Tan Le,3,283.39,0.0,0,0,1,6.341219126819894
Terry Moore,3,2389.0,33.33333333333333,1,1,0,16.784177397597702
Tim Berners-Lee,3,254.63,0.0,0,0,1,6.289640047870264
Tim Harford,3,1306.59,33.33333333333333,1,1,1,20.67630492418026
Craig Venter,3,178.84,0.0,0,0,1,6.153715903447715
