,speaker,video_ids,videos,views,topics,average_views
2485,Keith Lowe,[36384],1,142197,"['global issues, future, history, war, society']",142197.0
2486,Keith Nolan,[1354],1,448980,"['global issues, military, TEDx, disability']",448980.0
2487,Keith Payne,[66455],1,2109652,"['politics, psychology, society, TEDx, equality']",2109652.0
2488,Keith Weed,[20466],1,17240,"['climate change, sustainability, economics']",17240.0
11,Aaron Huey,[1004],1,2103459,"['culture, history, photography, poverty, TEDx, indigenous peoples']",2103459.0
2490,Kelli Anderson,[1383],1,389975,"['design, engineering, art, TEDx']",389975.0
2491,Kelli Jean Drinkwater,[2612],1,2109496,"['culture, performance, social change, health, creativity, art, activism, photography, self, humanity, society, beauty, identity, fear, TEDx']",2109496.0
2492,Kelli Swazey,[1832],1,1949437,"['culture, death']",1949437.0
2493,Kelly Corrigan,[132053],1,1110910,"['love, communication, parenting, happiness, personal growth, family, emotions']",1110910.0
2494,Kelly D. Parker,[128040],1,780616,"['business, marketing, storytelling, communication, TEDx']",780616.0
2495,Kelly Lepley,[13018],1,73253,"['gender, self']",73253.0
2496,Kelly McGonigal,[1815],1,35556075,"['health, psychology, body language, mindfulness']",35556075.0
2497,Kelly Richmond Pope,[25054],1,1740265,"['politics, corruption, social change, history, society, crime, TEDx']",1740265.0
2498,Kelly Wanser,[46595],1,1948827,"['climate change, environment, science, sustainability, technology, engineering, pollution, Anthropocene, ocean']",1948827.0
2499,Kelsey Johnson,[53270],1,2123855,"['science, nature, astronomy, universe, pollution, space']",2123855.0
2500,Kelsey Leonard,[54750],1,3569512,"['climate change, environment, social change, future, activism, water, law, rivers, indigenous peoples']",3569512.0
2501,Kemi DaSilva-Ibru,[68121],1,1427425,"['social change, community, women, violence, sexual violence, coronavirus']",1427425.0
2502,Ken Chenault,[90094],1,1810900,"['business, innovation, creativity, leadership, equality, investing']",1810900.0
12,Aaron Koblin,[1152],1,1893179,"['technology, design, collaboration, art, visualizations, Internet, data']",1893179.0
2504,Ken Jennings,[1708],1,1479938,"['technology, computers, entertainment, robots, AI, TEDx']",1479938.0
2505,Ken Kamler,[791],1,898415,"['science, biology, medicine, exploration, humanity, weather']",898415.0
2506,Kendall Spencer,[8955],1,37425,"['education, social change, sports, youth']",37425.0
2507,Kenichi Ebina,[179],1,1983683,"['culture, entertainment, performance, dance']",1983683.0
2508,Kenneth Chabert,[107191],1,1340860,"['education, social change, psychology, personal growth, travel, curiosity, TED-Ed, Life']",1340860.0
2509,Kenneth Cukier,[2094],1,2082911,"['technology, future, data']",2082911.0
2510,Kenneth Lacovara,[2484],1,4365731,"['environment, science, animals, nature, history, universe, exploration, humanity, paleontology, TED Books, ancient world, dinosaurs, geology, asteroid']",4365731.0
2511,Kenneth Shinozuka,[2184],1,2028940,"['technology, design, invention, innovation, product design, aging']",2028940.0
2512,Kent Larson,[1559],1,1308656,"['technology, design, architecture, cities, urban planning, future, TEDx, infrastructure']",1308656.0
13,Aaron Maniam,[64613],1,238177,"['social change, poetry, language, humanity, society, pandemic, policy, coronavirus']",238177.0
2514,Keren Elazari,[2019],1,2887068,"['activism, terrorism, crime, Internet, encryption, cyber security']",2887068.0
14,Aaron Morris,[76215],1,1585351,"['science, technology, innovation, disease, health, TED Fellows, medical research, human body']",1585351.0
2516,Ketakandriana Rafitoson,[139340],1,489905,"['politics, corruption, Africa, democracy, government']",489905.0
2517,Kevin Allocca,[1371],1,3547370,"['entertainment, social media, Internet']",3547370.0
2518,Kevin B. Jones,[2644],1,1031034,"['science, collaboration, death, health, health care, cancer, communication, medicine, humanity, illness, TEDx, medical research']",1031034.0
2519,Kevin Bales,[807],1,1228926,"['global issues, business, economics, humanity, Slavery']",1228926.0
2520,Kevin Bethune,[6017],1,41580,"['design, business, collaboration, creativity, product design, leadership, work, UX design']",41580.0
2521,Kevin Breel,[1830],1,5035993,"['depression, mental health, suicide, TEDx, youth']",5035993.0
2522,Kevin Briggs,[1997],1,6969585,"['culture, depression, mental health, suicide']",6969585.0
2523,Kevin Etter,[13019],1,9489,"['business, activism, international development']",9489.0
2524,Kevin H. Gary,[120759],1,797495,"['entertainment, education, psychology, personal growth, brain, TEDx, emotions']",797495.0
2525,Kevin J. Krizek,[80115],1,1651753,"['climate change, design, cities, urban planning, social change, health, TEDx, pandemic, coronavirus']",1651753.0
15,Aaron O'Connell,[1160],1,1589528,"['science, philosophy, physics, quantum']",1589528.0
2527,Kevin Njabo,[6669],1,1015169,"['science, education, Africa, conservation']",1015169.0
2528,Kevin Owocki,[137203],1,481370,"['technology, innovation, social change, activism, philanthropy, money']",481370.0
2529,Kevin Roose,[69661],1,1441783,"['science, technology, social change, future, work, AI, humanity']",1441783.0
2530,Kevin Rudd,[2226],1,4437722,"['politics, United States, Asia, china']",4437722.0
2531,Kevin Scott,[121095],1,18636,"['technology, innovation, creativity, AI']",18636.0
2532,Kevin Slavin,[1194],1,4384995,"['technology, computers, social change']",4384995.0
16,Aaswath Raman,[15531],1,2418368,"['climate change, science, sustainability, technology, universe, physics, energy, electricity']",2418368.0
2534,Kevin Surace,[565],1,433001,"['sustainability, technology, design, invention, business, architecture, demo']",433001.0
2535,Kevin Toolis,[67430],1,255310,"['culture, death, anthropology, personal growth, society']",255310.0
2536,Keyu Jin,[111436],1,1604957,"['technology, business, entrepreneur, collaboration, innovation, future, leadership, china']",1604957.0
2537,Khadija Gbla,[2175],1,1367406,"['culture, global issues, Africa, women, TEDx']",1367406.0
2538,Khadijah Tribble,[77981],1,1710908,"['politics, social change, United States, society, TEDx, policy, justice system, equality']",1710908.0
2539,Khalida Brohi,[2152],1,1255106,"['activism, women, violence, feminism, Middle East']",1255106.0
