,speaker,video_ids,videos,views,topics,average_views
2330,Julian Treasure,"[660, 2034, 1564, 1200, 965]",5,85597044,"['culture, social change, sound', 'design, architecture, sound', 'science, design, music, nature, psychology, sound', 'business, entertainment, music, cities, birds', 'culture, communication, sound']",17119408.8
488,Barry Schwartz,"[66136, 2324, 1043, 462, 93]",5,29559822,"['culture, business, economics, psychology, happiness, personal growth, potential, decision-making', 'social change, psychology, success, work, personal growth, society, equality', 'science, business, economics, psychology, happiness, work, TED Books', 'culture, global issues, philosophy, happiness, self', 'culture, global issues, business, social change, psychology, philosophy, self, society']",5911964.4
2660,Lawrence Lessig,"[1960, 139351, 1702, 871, 187]",5,6375584,"['technology, music, law, TEDx, Internet', 'politics, corruption, democracy, government', 'global issues, politics, corruption, law, democracy, government', 'technology, business, entertainment, creativity, law', 'politics, technology, social change, AI, democracy, social media, TEDx, Internet, machine learning']",1275116.8
3512,Paul Rucker,"[95866, 49399, 24865, 19413, 136306]",5,2512457,"['music, performance, TED Fellows, immigration', 'social change, art, community, activism, race, self, humanity, society, identity, TED Fellows', 'culture, music, history, war, photography', 'music, performance, TED Fellows']",502491.4
4262,Stewart Brand,"[123, 598, 8420, 1690, 402]",5,5818753,"['technology, design, architecture, art, future', 'culture, global issues, technology, business, cities, urban planning, future, poverty', 'technology, biology, philosophy, deextinction', 'climate change, environment, global issues, sustainability, urban planning, future, Anthropocene, electricity, renewable energy, international development', 'environment, science, sustainability, future, space, humanity, deextinction']",1163750.6
941,Dan Ariely,"[1212, 2229, 50957, 487, 1706]",5,19914737,"['business, leadership, work, motivation, productivity, TEDx, behavioral economics', 'science, technology, economics, cognitive science, medical research', 'culture, science, economics, psychology, motivation, brain, self, society', 'economics, cognitive science, psychology, motivation, decision-making, self, humanity, behavioral economics', 'economics, psychology, behavioral economics, equality']",3982947.4
1451,Eve Ensler,"[54214, 1205, 217, 751, 64]",5,8601492,"['culture, global issues, technology, activism, war, spoken word, women, violence', 'social change, gender, activism, self, literature, society, family, sexual violence, emotions', 'culture, global issues, entertainment, performance, gender, storytelling, happiness, theater, women', 'culture, cancer, activism, poetry, brain, human body', 'culture, social change, gender, self, women, feminism']",1720298.4
872,Clay Shirky,"[1329, 896, 575, 1546, 274]",5,7659577,"['politics, technology, software, collaboration, future, law, social media, Internet, government', 'culture, technology, collaboration, community', 'culture, global issues, politics, technology, social change, communication, social media', 'culture, technology, business, collaboration, social change, cognitive science, society', 'politics, technology, business, media, creativity']",1531915.4
1964,Jane McGonigal,"[146814, 1866, 1501, 799]",4,16493832,"['global issues, design, computers, entertainment, gaming', 'science, technology, entertainment, social change, health, health care, cognitive science, psychology, philosophy, aging, happiness, medicine, motivation, self, gaming, illness, compassion, social media, body language, neuroscience', 'entertainment, performance, gaming', 'creativity, future, personal growth']",4123458.0
42,Adam Grant,"[80686, 75615, 2652, 2474]",4,39469878,"['psychology, motivation, personal growth, mental health, pandemic, goals', 'invention, business, innovation, creativity, leadership, success, work, motivation, personal growth, potential, exploration, decision-making, curiosity', 'business, collaboration, psychology, community, leadership, anthropology, work, motivation, personal growth, self, society, behavioral economics, personality', 'psychology, personal growth, self, identity, curiosity, goals']",9867469.5
2244,Jonathan Haidt,"[1389, 2625, 1642, 341]",4,9214444,"['culture, global issues, politics, evolution, psychology, brain, ethics', 'culture, evolution, religion', 'economics, media, interview, social change, evolution, psychology, philosophy, communication, community, religion, United States, decision-making, sociology, society, identity, democracy, social media, government, policy, equality', 'global issues, politics, psychology, society']",2303611.0
2241,Jonathan Drori,"[821, 556, 1185, 333]",4,3594089,"['environment, science, biology, insects, bees, sex, botany, plants', 'science, technology, media, education, illusion', 'environment, biology, bees, sex, botany', 'environment, science, biology, future, biodiversity, ecology, plants, gardening']",898522.25
574,Bjarke Ingels,"[50009, 42488, 634, 1340]",4,5012101,"['technology, engineering, invention, architecture, innovation, future, exploration, space, Mars', 'environment, sustainability, design, architecture, cities, creativity', 'climate change, environment, sustainability, design, architecture, cities, urban planning, creativity, infrastructure', 'sustainability, design, architecture, cities, TEDx']",1253025.25
1962,Jane Fonda,"[1313, 54394, 2394, 99568]",4,11007665,"['interview, gender, relationships, aging, personal growth, comedy, self, women, humanity, humor, identity, friendship', 'climate change, environment, politics, sustainability, social change, activism, society, protest', 'culture, health, aging, women, TEDx, personality', 'climate change, environment, politics, social change, activism, United States, Countdown, protest']",2751916.25
1373,Enric Sala,"[82093, 17850, 17733, 854]",4,3314095,"['climate change, environment, nature, fish, biodiversity, water, conservation, Countdown, ocean', 'environment, economics, biosphere, nature, fish, future, water, TED en Español, ocean', 'science, economics, fish, Mission Blue, marine biology, coral reefs, ocean']",828523.75
1054,David Brooks,"[1973, 40930, 2716, 1094]",4,10932328,"['politics, collaboration, social change, future, history, communication, United States, women, humanity, writing, identity, democracy, social media, government, journalism, immigration, policy, infrastructure, equality', 'psychology, philosophy, success, self, personality', 'culture, social change, relationships, happiness, United States, success, motivation, personal growth, society', 'culture, motivation, brain, society, emotions']",2733082.0
2194,John Doerr,"[83767, 17922, 128, 66457]",4,14000893,"['business, collaboration, future, leadership, success, work, motivation, personal growth, potential, goals', 'climate change, environment, global issues, sustainability, technology, investing', 'climate change, sustainability, technology, innovation, leadership, energy, Countdown', 'climate change, environment, sustainability, technology, innovation, leadership, energy, Countdown']",3500223.25
2178,Johan Rockström,"[66925, 26072, 945, 135902]",4,8342024,"['climate change, environment, global issues, cities, agriculture, Anthropocene', 'climate change, environment, science, nature, leadership, Countdown', 'climate change, environment, global issues, sustainability, energy, Anthropocene, renewable energy, international development, fossil fuels', 'climate change, environment, science, sustainability, nature, leadership, policy, Countdown']",2085506.0
2773,Louie Schwartzberg,"[1969, 1283, 1140, 64338]",4,17518646,"['science, nature, evolution, film, insects, bees, beauty, botany, plants, gardening', 'global issues', 'culture, biology, photography, biodiversity, compassion, TEDx', 'nature, film, photography, insects, bacteria, nanotechnology']",4379661.5
2845,Malcolm Gladwell,"[139364, 1831, 1255, 20]",4,23107029,"['social change, history, sociology, writing, crime, journalism, policy', 'culture, business, economics, media, food, consumerism, marketing, storytelling, decision-making', 'invention, war, drones', 'entertainment, history, storytelling, war, ancient world']",5776757.25
949,Dan Dennett,"[485, 116, 102, 94]",4,15167097,"['cognitive science, evolution, philosophy, religion, brain, atheism, consciousness', 'culture, entertainment, illusion, brain, visualizations, consciousness, self', 'food, animals, primates, evolution, biology, comedy, humanity, humor, sex, kids', 'culture, philosophy, religion']",3791774.25
2888,Margaret Heffernan,"[46585, 2283, 1773, 1533]",4,15760945,"['culture, global issues, corruption, women in business, TEDx', 'business, leadership, women in business', 'technology, business, entrepreneur, innovation, social change, creativity, future, leadership, work, AI, humanity, society, government, algorithm', 'business, leadership, work, TED Books']",3940236.25
1700,Halla Tómasdóttir,"[1030, 85424, 37800, 2621]",4,6206802,"['politics, business, social change, gender, activism, leadership, women in business, society, government', 'politics, business, women, women in business, feminism', 'culture, politics, media, social change, gender, motivation, women, democracy, government, television, equality', 'climate change, sustainability, collaboration, leadership, policy, Countdown']",1551700.5
3319,Ngozi Okonjo-Iweala,"[70124, 2560, 152, 127]",4,4962232,"['global issues, business, corruption, women, women in business, investing', 'global issues, technology, business, economics, transportation, collaboration, education, Africa, future, war, potential, women, society, government, policy, natural resources, international development, goals, investing', 'education, social change, gender, future, leadership, personal growth, women, society, international development', 'global issues, business, economics, entrepreneur, health care, Africa, philanthropy, women, women in business, international development, investing']",1240558.0
3326,Nicholas Negroponte,"[423, 41, 2043, 230]",4,4217492,"['technology, design, entertainment, media, future, film, demo, UX design', 'global issues, technology, design, entrepreneur, education, social change, philanthropy, kids', 'technology, computers, innovation, future, UX design', 'global issues, technology, design, computers, philanthropy, kids']",1054373.0
2526,Kevin Kelly,"[88884, 2645, 770, 19]",4,7470064,"['culture, science, technology, evolution, future, history, philosophy, decision-making', 'technology, computers, history, TEDx', 'technology, industrial design, invention, business, computers, collaboration, innovation, robots, future, decision-making, AI, humanity, society, Internet, data, algorithm, machine learning, driverless cars', 'global issues, technology, innovation, social change, future, history, potential, humanity, society']",1867516.0
3590,Pico Iyer,"[2598, 46587, 2025, 1789]",4,12020644,"['culture, happiness, travel, writing', 'happiness, travel, TED Books, productivity, meditation, mindfulness, work-life balance', 'culture, history, sports, personal growth, humanity', 'illusion, aging, personal growth, self, humanity, writing, identity']",3005161.0
3672,Ray Kurzweil,"[2015, 560, 132599, 38]",4,8968460,"['culture, science, technology, invention, business, biotech, robots, future', 'technology, evolution, future, brain, AI', 'science, technology, computers, education, future, nanotechnology', 'technology, innovation, future, AI, humanity, human body']",2242115.0
983,Daniel Kraft,"[601, 25241, 76707, 1168]",4,5062994,"['science, innovation, health, health care, future, medicine, TEDx, medical research, pandemic, coronavirus', 'science, technology, design, health care, TEDx', 'science, technology, biotech, health, health care, biology, medicine', 'science, technology, invention, health, health care, future, product design, medicine, medical research, 3D printing, drugs']",1265748.5
3774,Robert Full,"[2014, 571, 280, 195]",4,4229226,"['technology, design, engineering, robots, animals, biology', 'science, technology, design, invention, robots, animals, biology, biomimicry, demo, insects', 'science, technology, design, transportation, robots, animals, evolution', 'science, technology, design, robots, evolution']",1057306.5
3971,Sarah Jones,"[115676, 2278, 1989, 527]",4,7002500,"['culture, performance, storytelling, theater, humanity, humor, identity', 'performance, future, theater, humor', 'culture, social change, gender, future, theater, personal growth, society, social media, diversity, inclusion', 'culture, performance, future, humor, sex']",1750625.0
3973,Sarah Kay,"[118554, 43362, 1293, 1100]",4,21328672,"['entertainment, performance, art, storytelling, poetry, spoken word', 'entertainment, performance, storytelling, poetry, spoken word', 'performance, art, poetry, Life', 'entertainment, performance, storytelling, poetry, spoken word, TEDx']",5332168.0
4206,Stefan Sagmeister,"[356, 1159, 649, 50]",4,9273178,"['design, innovation, creativity, art, happiness, work', 'design, art, film, happiness, motivation', 'design, education, art, happiness, work, humor', 'design, art, happiness, typography, graphic design']",2318294.5
4253,Steven Johnson,"[61, 80827, 961, 362]",4,9716536,"['culture, science, design, cities, urban planning, disease, health, history, maps', 'science, technology, collaboration, innovation, literature', 'global issues, design, cities, communication, community, Internet', 'science, technology, innovation, social change, health, health care, history, medicine, public health, society, human body']",2429134.0
1015,Danny Hillis,"[12799, 1693, 1346, 1082]",4,3982387,"['technology, computers, Internet', 'genetics, cancer, medical research', 'climate change, science, technology, social change, future, society, curiosity, Anthropocene', 'science, technology, engineering, DNA, genetics, computers, innovation, evolution, biology, future, history, math, code']",995596.75
2626,Latif Nasser,"[84188, 84189, 2455, 2285]",4,6209920,"['science, social change, health, health care, history, storytelling, medicine, empathy, medical research, drugs', 'environment, science, animals, nature, evolution, biology, history, paleontology, ancient world, curiosity, ecology', 'climate change, science, weather, Countdown', 'climate change, future, activism, leadership, Countdown']",1552480.0
4484,Tom Wujec,"[2179, 837, 694, 591]",4,15191237,"['technology, design, creativity, brain, visualizations, public speaking', 'science, technology, innovation, history, astronomy', 'design, business, collaboration, creativity, leadership', 'culture, design, business, entertainment, collaboration, psychology']",3797809.25
4711,Yuval Noah Harari,"[94157, 2307, 16159, 2695]",4,21264494,"['politics, technology, biotech, social change, future, history, leadership, AI, humanity, society, democracy, government, algorithm', 'climate change, global issues, politics, technology, economics, media, collaboration, social change, evolution, future, history, war, violence, humanity, society, identity, democracy, government, journalism, international development', 'evolution, history, storytelling, humanity', 'climate change, global issues, politics, science, sustainability, economics, money, finance, policy, Countdown']",5316123.5
1164,Derek Sivers,"[947, 814, 755]",3,23983960,"['psychology, storytelling, success, motivation, personal growth, self, goals', 'business, creativity, india, maps', 'business, entertainment, marketing, dance, leadership, Internet']",7994653.33
2243,Jonathan Foley,"[124191, 135050, 1412]",3,2280770,"['climate change, environment, science, sustainability, technology, data, Countdown', 'environment, global issues, TEDx, agriculture', 'climate change, environment, science, sustainability, food, pollution, agriculture, data, Countdown']",760256.67
635,Bruce Feiler,"[93272, 1675, 1062]",3,4588121,"['culture, technology, engineering, software, parenting, family, youth, kids', 'storytelling, communication, motivation, personal growth, mental health, TEDx', 'culture, health, cancer, storytelling, community, personal growth, family']",1529373.67
